Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","191","Croatia","5111","Stocks","02122","Sheep","2020","2020","An","662000","A","Official figure",""
"QCL","Crops and livestock products","191","Croatia","5111","Stocks","02122","Sheep","2021","2021","An","654000","A","Official figure",""
"QCL","Crops and livestock products","191","Croatia","5111","Stocks","02122","Sheep","2022","2022","An","643000","A","Official figure",""
"QCL","Crops and livestock products","192","Cuba","5111","Stocks","02122","Sheep","2019","2019","An","1473000","A","Official figure",""
"QCL","Crops and livestock products","192","Cuba","5111","Stocks","02122","Sheep","2020","2020","An","1458200","A","Official figure",""
"QCL","Crops and livestock products","192","Cuba","5111","Stocks","02122","Sheep","2021","2021","An","1442900","A","Official figure",""
"QCL","Crops and livestock products","192","Cuba","5111","Stocks","02122","Sheep","2022","2022","An","1411800","A","Official figure",""
"QCL","Crops and livestock products","196","Cyprus","5111","Stocks","02122","Sheep","2019","2019","An","323240","A","Official figure",""
"QCL","Crops and livestock products","196","Cyprus","5111","Stocks","02122","Sheep","2020","2020","An","326330","A","Official figure",""
"QCL","Crops and livestock products","196","Cyprus","5111","Stocks","02122","Sheep","2021","2021","An","350550","A","Official figure",""
"QCL","Crops and livestock products","196","Cyprus","5111","Stocks","02122","Sheep","2022","2022","An","343400","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5111","Stocks","02122","Sheep","2019","2019","An","213070","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5111","Stocks","02122","Sheep","2020","2020","An","203612","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5111","Stocks","02122","Sheep","2021","2021","An","183145","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5111","Stocks","02122","Sheep","2022","2022","An","174200","A","Official figure",""
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5111","Stocks","02122","Sheep","2019","2019","An","169000","A","Official figure",""
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5111","Stocks","02122","Sheep","2020","2020","An","171000","A","Official figure",""
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5111","Stocks","02122","Sheep","2021","2021","An","169377","I","Imputed value",""
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5111","Stocks","02122","Sheep","2022","2022","An","167159","I","Imputed value",""
"QCL","Crops and livestock products","180","Democratic Republic of the Congo","5111","Stocks","02122","Sheep","2019","2019","An","912789","A","Official figure",""
"QCL","Crops and livestock products","180","Democratic Republic of the Congo","5111","Stocks","02122","Sheep","2020","2020","An","914328","A","Official figure",""
"QCL","Crops and livestock products","180","Democratic Republic of the Congo","5111","Stocks","02122","Sheep","2021","2021","An","915870","A","Official figure",""
"QCL","Crops and livestock products","180","Democratic Republic of the Congo","5111","Stocks","02122","Sheep","2022","2022","An","917265","I","Imputed value",""
"QCL","Crops and livestock products","208","Denmark","5111","Stocks","02122","Sheep","2019","2019","An","138010","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5111","Stocks","02122","Sheep","2020","2020","An","135339","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5111","Stocks","02122","Sheep","2021","2021","An","135487","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5111","Stocks","02122","Sheep","2022","2022","An","132510","A","Official figure",""
"QCL","Crops and livestock products","262","Djibouti","5111","Stocks","02122","Sheep","2019","2019","An","469873","I","Imputed value",""
"QCL","Crops and livestock products","262","Djibouti","5111","Stocks","02122","Sheep","2020","2020","An","469513","I","Imputed value",""
"QCL","Crops and livestock products","262","Djibouti","5111","Stocks","02122","Sheep","2021","2021","An","469764","I","Imputed value",""
